0.0.0.0/8	359
1.0.0.0/24	331
1.0.1.0/24	13
1.0.2.0/23	13
1.0.4.0/22	331
1.0.8.0/23	19
1.0.10.0/24	132
1.0.11.0/24	19
1.0.12.0/22	19
1.0.16.0/20	137
1.0.32.0/22	19
1.0.36.0/23	19
1.0.38.0/23	132
1.0.40.0/23	132
1.0.42.0/23	19
1.0.44.0/23	19
1.0.46.0/24	132
1.0.47.0/24	19
1.0.48.0/24	19
1.0.49.0/24	132
1.0.50.0/24	132
1.0.51.0/24	19
1.0.52.0/22	19
1.0.56.0/21	19
1.0.64.0/18	137
1.0.128.0/17	143
1.1.0.0/24	13
1.1.1.0/24	331
1.1.2.0/23	13
1.1.4.0/22	13
1.1.8.0/21	19
1.1.16.0/20	19
1.1.32.0/24	19
1.1.33.0/24	132
1.1.34.0/23	19
1.1.36.0/22	19
1.1.40.0/22	132
1.1.44.0/24	19
1.1.45.0/24	132
1.1.46.0/24	132
1.1.47.0/24	19
1.1.48.0/22	19
1.1.52.0/24	19
1.1.53.0/24	132
1.1.54.0/23	19
1.1.56.0/22	19
1.1.60.0/24	132
1.1.61.0/24	19
1.1.62.0/23	19
1.1.64.0/18	137
1.1.128.0/17	143
1.2.0.0/23	132
1.2.2.0/24	358
1.2.3.0/24	331
1.2.4.0/24	358
1.2.5.0/24	13
1.2.6.0/23	13
1.2.8.0/24	358
1.2.9.0/24	19
1.2.10.0/23	19
1.2.12.0/22	19
1.2.16.0/20	19
1.2.32.0/19	19
1.2.64.0/18	19
1.2.128.0/17	143
1.3.0.0/24	132
1.3.1.0/24	19
1.3.2.0/23	19
1.3.4.0/22	19
1.3.8.0/21	19
1.3.16.0/20	19
1.3.32.0/19	19
1.3.64.0/18	19
1.3.128.0/23	19
1.3.130.0/23	132
1.3.132.0/23	19
1.3.134.0/24	19
1.3.135.0/24	132
1.3.136.0/22	19
1.3.140.0/23	132
1.3.142.0/23	19
1.3.144.0/20	19
1.3.160.0/19	19
1.3.192.0/18	19
1.4.0.0/24	331
1.4.1.0/24	13
1.4.2.0/24	132
1.4.3.0/24	13
1.4.4.0/24	358
1.4.5.0/24	13
1.4.6.0/23	13
1.4.8.0/21	19
1.4.16.0/20	19
1.4.32.0/19	19
1.4.64.0/18	19
1.4.128.0/17	143
1.5.0.0/16	137
1.6.0.0/16	201
1.7.0.0/16	147
1.8.0.0/16	358
1.9.0.0/17	144
1.9.128.0/18	144
1.9.192.0/19	144
1.9.224.0/20	144
1.9.240.0/24	144
1.9.241.0/31	144
1.9.241.2/32	130
1.9.241.3/32	144
1.9.241.4/30	144
1.9.241.8/29	144
1.9.241.16/31	144
1.9.241.18/32	247
1.9.241.19/32	144
1.9.241.20/30	144
1.9.241.24/29	144
1.9.241.32/27	144
1.9.241.64/26	144
1.9.241.128/25	144
1.9.242.0/23	144
1.9.244.0/22	144
1.9.248.0/21	144
1.10.0.0/21	19
1.10.8.0/24	132
1.10.9.0/24	13
1.10.10.0/24	331
1.10.11.0/24	13
1.10.12.0/22	13
1.10.16.0/20	19
1.10.32.0/19	19
1.10.64.0/18	19
1.10.128.0/17	143
1.11.0.0/16	136
1.12.0.0/14	358
1.16.0.0/14	136
1.20.0.0/16	143
1.21.0.0/16	137
1.22.0.0/15	152
1.24.0.0/21	36
1.24.8.0/21	36
1.24.16.0/21	36
1.24.24.0/21	36
1.24.32.0/21	36
1.24.40.0/21	36
1.24.48.0/20	36
1.24.64.0/20	36
1.24.80.0/20	36
1.24.96.0/19	36
1.24.128.0/21	36
1.24.136.0/21	36
1.24.144.0/22	36
1.24.148.0/22	36
1.24.152.0/21	36
1.24.160.0/21	36
1.24.168.0/21	36
1.24.176.0/21	36
1.24.184.0/22	36
1.24.188.0/22	36
1.24.192.0/21	36
1.24.200.0/21	36
1.24.208.0/21	36
1.24.216.0/30	36
1.24.216.4/31	36
1.24.216.6/31	36
1.24.216.8/29	36
1.24.216.16/28	36
1.24.216.32/27	36
1.24.216.64/26	36
1.24.216.128/25	36
1.24.217.0/24	36
1.24.218.0/23	36
1.24.220.0/22	36
1.24.224.0/21	36
1.24.232.0/22	36
1.24.236.0/22	36
1.24.240.0/22	36
1.24.244.0/22	36
1.24.248.0/21	36
1.25.0.0/21	36
1.25.8.0/21	36
1.25.16.0/21	36
1.25.24.0/21	36
1.25.32.0/20	36
1.25.48.0/20	36
1.25.64.0/22	36
1.25.68.0/22	36
1.25.72.0/21	36
1.25.80.0/21	36
1.25.88.0/22	36
1.25.92.0/22	36
1.25.96.0/22	36
1.25.100.0/22	36
1.25.104.0/21	36
1.25.112.0/21	36
1.25.120.0/21	36
1.25.128.0/21	36
1.25.136.0/21	36
1.25.144.0/21	36
1.25.152.0/21	36
1.25.160.0/19	36
1.25.192.0/21	36
1.25.200.0/21	36
1.25.208.0/20	36
1.25.224.0/22	36
1.25.228.0/22	36
1.25.232.0/21	36
1.25.240.0/20	36
1.26.0.0/19	36
1.26.32.0/19	36
1.26.64.0/22	36
1.26.68.0/23	36
1.26.70.0/24	36
1.26.71.0/24	36
1.26.72.0/21	36
1.26.80.0/20	36
1.26.96.0/19	36
1.26.128.0/20	36
1.26.144.0/22	36
1.26.148.0/22	36
1.26.152.0/21	36
1.26.160.0/21	36
1.26.168.0/22	36
1.26.172.0/22	36
1.26.176.0/22	36
1.26.180.0/22	36
1.26.184.0/21	36
1.26.192.0/22	36
1.26.196.0/22	36
1.26.200.0/21	36
1.26.208.0/22	36
1.26.212.0/22	36
1.26.216.0/22	36
1.26.220.0/22	36
1.26.224.0/20	36
1.26.240.0/22	36
1.26.244.0/22	36
1.26.248.0/21	36
1.27.0.0/20	36
1.27.16.0/20	36
1.27.32.0/19	36
1.27.64.0/20	36
1.27.80.0/21	36
1.27.88.0/21	36
1.27.96.0/21	36
1.27.104.0/21	36
1.27.112.0/20	36
1.27.128.0/20	36
1.27.144.0/22	36
1.27.148.0/22	36
1.27.152.0/21	36
1.27.160.0/20	36
1.27.176.0/20	36
1.27.192.0/20	36
1.27.208.0/22	36
1.27.212.0/22	36
1.27.216.0/21	36
1.27.224.0/22	36
1.27.228.0/22	36
1.27.232.0/22	36
1.27.236.0/22	36
1.27.240.0/22	36
1.27.244.0/22	36
1.27.248.0/22	36
1.27.252.0/22	36
1.28.0.0/20	36
1.28.16.0/20	36
1.28.32.0/19	36
1.28.64.0/21	36
1.28.72.0/22	36
1.28.76.0/22	36
1.28.80.0/21	36
1.28.88.0/21	36
1.28.96.0/20	36
1.28.112.0/22	36
1.28.116.0/22	36
1.28.120.0/22	36
1.28.124.0/24	36
1.28.125.0/24	36
1.28.126.0/23	36
