303	多米尼加		
304	多米尼克		
305	圣文森特		
306	格林纳丁斯		
307	特立尼达		
308	多巴哥		
309	安提瓜		
310	巴布达		
311	圣基茨		
312	尼维斯		
313	波多黎		
314	美国		
315	加拿大		
317	委内瑞拉		
318	圭亚那		
319	苏里南		
320	阿根廷		
321	厄瓜多尔		
322	秘鲁		
323	玻利维亚		
324	智利		
325	巴拉圭		
326	乌拉圭		
327	哥伦比亚		
328	巴西		
330	图瓦卢		
331	澳大利亚		
332	马绍尔群岛		
333	斐济		
334	基里巴斯		
335	库克群岛		
336	巴布亚新几内亚		
337	汤加		
338	新西兰		
339	所罗门群岛		
340	密克罗尼西亚		
341	纽埃		
343	萨摩亚		
344	帕劳		
345	瑙鲁		
346	美属萨摩亚		
348	南极洲		
349	波多黎各		
350	圣基茨和尼维斯		
351	圣文森特和格林纳丁斯		
352	特立尼达和多巴哥		
353	安提瓜和巴布达		
354	赤道几内亚		
355	马约特		
356	南苏丹		
357	圣多美和普林西比		
358	中国		其他
359	海外未知		
360	局域网		

